Merge_method,Component,Task,Metric,N,Mean_Component,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
TIES_D07,FWEdu+LRD,clim_retrieve,f1,3,0.8418,0.8509,+0.0092,0.6721,1.0000,0.28,mixed
TIES_D07,FWEdu+LRD,climate_commitments_actions,f1,3,0.6796,0.7186,+0.0390,0.3134,0.5000,0.77,mixed
TIES_D07,FWEdu+LRD,climate_detection,f1,3,0.9535,0.9490,-0.0045,0.0129,0.2500,-5.03,all_B<A
TIES_D07,FWEdu+LRD,climate_specificity,f1,3,0.6951,0.7066,+0.0115,0.4742,0.7500,0.50,mixed
TIES_D07,FWEdu+LRD,climate_sentiment,macro_f1,3,0.7693,0.7559,-0.0134,0.3070,0.2500,-0.78,all_B<A
TIES_D07,FWEdu+LRD,netzero_reduction,macro_f1,3,0.9892,0.9904,+0.0012,0.4226,0.3173,0.58,mixed
TIES_D07,FWEdu+LRD,tcfd_recommendations,macro_f1,3,0.5959,0.5965,+0.0006,0.9705,1.0000,0.02,mixed
TIES_D07,FWEdu+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9710,0.9671,-0.0039,0.6703,1.0000,-0.29,mixed
TIES_D07,FWEdu+LRD,wximpactbench,macro_f1,3,0.2032,0.2694,+0.0662,0.0952,0.2500,1.74,all_B>A
TIES_D07,SYN+LRD,clim_retrieve,f1,3,0.8751,0.8509,-0.0241,0.0440,0.2500,-2.66,all_B<A
TIES_D07,SYN+LRD,climate_commitments_actions,f1,3,0.6637,0.7186,+0.0549,0.1172,0.2500,1.53,all_B>A
TIES_D07,SYN+LRD,climate_detection,f1,3,0.9378,0.9490,+0.0112,0.0158,0.2500,4.53,all_B>A
TIES_D07,SYN+LRD,climate_specificity,f1,3,0.6937,0.7066,+0.0129,0.1782,0.2500,1.18,all_B>A
TIES_D07,SYN+LRD,climate_sentiment,macro_f1,3,0.7476,0.7559,+0.0083,0.7510,1.0000,0.21,mixed
TIES_D07,SYN+LRD,netzero_reduction,macro_f1,3,0.9904,0.9904,+0.0000,0.9983,0.6547,0.00,mixed
TIES_D07,SYN+LRD,tcfd_recommendations,macro_f1,3,0.6111,0.5965,-0.0146,0.2557,0.2500,-0.91,all_B<A
TIES_D07,SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9651,0.9671,+0.0020,0.8754,1.0000,0.10,mixed
TIES_D07,SYN+LRD,wximpactbench,macro_f1,3,0.2498,0.2694,+0.0195,0.6664,0.7500,0.29,mixed
